"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"27.02.2023 19:03","Kairu Road, Nairobi","1210.00","54.36","0.00","0.00","0.00","Ksh",Bolt Payment,"27.02.2023 19:21","3.00","Finished"
"26.02.2023 23:41","Mombasa Road, Nairobi","280.00","13.35","0.00","0.00","0.00","Ksh","Cash","26.02.2023 23:52","4.00","Finished"
"26.02.2023 22:45","TRM Drive, Nairobi","1030.00","42.42","100.00","0.00","0.00","Ksh","Cash","26.02.2023 23:21","23.00","Finished"
"26.02.2023 20:34","Kangundo Road, Nairobi","390.00","18.77","0.00","0.00","0.00","Ksh","Cash","26.02.2023 21:03","6.00","Finished"
"26.02.2023 20:01","Simba Day Nursery Shool, Nairobi, Kenya","250.00","12.12","0.00","0.00","0.00","Ksh","Cash","26.02.2023 20:27","4.00","Finished"
"26.02.2023 19:04","Mumias South Road 100, Nairobi","400.00","19.09","0.00","0.00","0.00","Ksh","Cash","26.02.2023 19:44","7.00","Finished"
"26.02.2023 18:24","Mowlem","300.00","14.36","0.00","0.00","0.00","Ksh","Cash","26.02.2023 19:10","5.00","Finished"
"26.02.2023 18:04","Pedestrian Entrance, Garden City Mall","380.00","15.67","50.00","0.00","0.00","Ksh","Cash","26.02.2023 18:19","6.00","Finished"
"26.02.2023 17:32","Mosque Lane, Nairobi","310.00","14.69","0.00","0.00","0.00","Ksh","Cash","26.02.2023 18:03","7.00","Finished"
"26.02.2023 16:36","Owuor Fabricators & Supplies, New Njiru Town, Kenya","520.00","24.62","0.00","0.00","0.00","Ksh","Cash","26.02.2023 17:28","8.00","Finished"
"26.02.2023 15:55","Ruaraka, Nairobi","530.00","25.16","0.00","0.00","0.00","Ksh","Cash","26.02.2023 16:36","11.00","Finished"
"26.02.2023 15:12","George Padmore Road, Nairobi","680.00","32.01","0.00","0.00","0.00","Ksh","Cash","26.02.2023 15:48","15.00","Finished"
"26.02.2023 14:55","Amani ya Juu, Riverside West Lane, Nairobi","240.00","11.42","0.00","0.00","0.00","Ksh","Cash","26.02.2023 15:11","4.00","Finished"
"26.02.2023 14:15","Karuna Road, Sarit Centre","200.00","9.56","0.00","0.00","0.00","Ksh","Cash","26.02.2023 14:32","3.00","Finished"
"26.02.2023 13:32","Hilltop apartments, Murua Drive, Ruaka, Kenya","500.00","23.84","0.00","0.00","0.00","Ksh","Cash","26.02.2023 14:00","11.00","Finished"
"26.02.2023 12:40","Lumumba Drive, Nairobi","590.00","28.10","0.00","0.00","0.00","Ksh","Cash","26.02.2023 13:13","14.00","Finished"
"26.02.2023 12:14","Kirinyaga Road, Nairobi","510.00","24.51","0.00","0.00","0.00","Ksh",Bolt Payment,"26.02.2023 12:31","12.00","Finished"
"26.02.2023 11:42","Coast Road, Nairobi","490.00","23.30","0.00","0.00","0.00","Ksh","Cash","26.02.2023 12:11","10.00","Finished"
"26.02.2023 10:54","Embakasi, Nairobi","1150.00","51.72","0.00","0.00","0.00","Ksh","Cash","26.02.2023 11:39","26.00","Finished"
"26.02.2023 10:27","Gesora Road Utawala, Nairobi","350.00","16.88","0.00","0.00","0.00","Ksh","Cash","26.02.2023 10:53","8.00","Finished"
"26.02.2023 10:05","Utawala Road, Nairobi","250.00","11.87","0.00","0.00","0.00","Ksh","Cash","26.02.2023 10:19","5.00","Finished"
"26.02.2023 09:39","Mihango, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","26.02.2023 10:00","1.00","Finished"
"26.02.2023 08:59","Salama Court, Nairobi, Kenya","560.00","26.80","0.00","0.00","0.00","Ksh","Cash","26.02.2023 09:32","14.00","Finished"
"25.02.2023 18:37","Wallet Bar, Kayole Spine Road, Nairobi","260.00","12.38","0.00","0.00","0.00","Ksh","Cash","25.02.2023 19:06","3.00","Finished"
"25.02.2023 17:53","Kahawa South, Nairobi","750.00","35.07","0.00","0.00","0.00","Ksh","Cash","25.02.2023 18:37","18.00","Finished"
