"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"31.01.2023 20:45","Sonia Lane, Nairobi","470.00","22.57","0.00","0.00","0.00","Ksh","Cash","31.01.2023 21:16","11.00","Finished"
"31.01.2023 19:51","Syokimau, Nairobi","680.00","32.25","0.00","0.00","0.00","Ksh","Cash","31.01.2023 20:29","17.00","Finished"
"31.01.2023 17:09","Kipande Athumani Street, Nairobi","1250.00","55.88","0.00","0.00","0.00","Ksh","Cash","31.01.2023 17:25","0.00","Finished"
"31.01.2023 16:29","Flamingo Avenue 1544, Nairobi","570.00","27.23","0.00","0.00","0.00","Ksh","Cash","31.01.2023 17:01","11.00","Finished"
"31.01.2023 16:01","Road, Nairobi","520.00","24.69","0.00","0.00","0.00","Ksh","Cash","31.01.2023 16:28","12.00","Finished"
"31.01.2023 14:03","53 Butere Road, Nairobi, Kenya","770.00","35.80","0.00","0.00","0.00","Ksh","Cash","31.01.2023 14:49","19.00","Finished"
"31.01.2023 13:37","Sore Drive, Nairobi","210.00","9.94","0.00","0.00","0.00","Ksh","Cash","31.01.2023 13:52","4.00","Finished"
"31.01.2023 13:08","360 Lane, Kenya","680.00","31.96","0.00","0.00","0.00","Ksh","Cash","31.01.2023 13:35","17.00","Finished"
"31.01.2023 11:30","Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)","520.00","24.82","0.00","0.00","0.00","Ksh","Cash","31.01.2023 11:55","9.00","Finished"
"31.01.2023 10:04","Riviera Gardens, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","31.01.2023 10:11","0.00","Finished"
"31.01.2023 09:25","Centenary House, Riverside Westlands Lane, Nairobi","310.00","14.67","0.00","0.00","0.00","Ksh","Cash","31.01.2023 09:54","5.00","Finished"
"31.01.2023 08:43","United Nations Crescent 74, Nairobi","480.00","22.84","0.00","0.00","0.00","Ksh","Cash","31.01.2023 09:07","10.00","Finished"
"31.01.2023 07:39","Savannah Road, Nairobi","830.00","38.90","0.00","0.00","0.00","Ksh","Cash","31.01.2023 08:41","18.00","Finished"
"29.01.2023 19:03","Eastleigh North, Nairobi City","480.00","22.81","0.00","0.00","0.00","Ksh","Cash","29.01.2023 19:36","12.00","Finished"
"29.01.2023 18:40","Alozi Estate Road 2, Nairobi","410.00","19.57","0.00","0.00","0.00","Ksh","Cash","29.01.2023 19:04","8.00","Finished"
"29.01.2023 18:25","Mathare North Road, Nairobi","270.00","12.62","0.00","0.00","0.00","Ksh","Cash","29.01.2023 18:38","4.00","Finished"
"29.01.2023 18:04","Koinage Street Finance House, Nairobi","430.00","20.68","0.00","0.00","0.00","Ksh","Cash","29.01.2023 18:24","10.00","Finished"
"29.01.2023 16:40","Langata Road, Nairobi","950.00","44.40","0.00","0.00","0.00","Ksh","Cash","29.01.2023 17:51","19.00","Finished"
"29.01.2023 15:42","Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)","750.00","34.67","0.00","0.00","0.00","Ksh","Cash","29.01.2023 16:17","20.00","Finished"
"29.01.2023 14:55","Lantana Road, Nairobi","970.00","39.92","100.00","0.00","0.00","Ksh",Bolt Payment,"29.01.2023 15:35","21.00","Finished"
"29.01.2023 14:34","Westlands Commercial Centre, Ring Road Parklands, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","29.01.2023 14:48","3.00","Finished"
"29.01.2023 14:15","Telagen Gardens Apartments, Hatheru Road, Nairobi, Kenya","390.00","18.54","0.00","0.00","0.00","Ksh","Cash","29.01.2023 14:33","8.00","Finished"
"29.01.2023 13:31","Sergeant Kahande Street","630.00","29.82","0.00","0.00","0.00","Ksh","Cash","29.01.2023 14:05","13.00","Finished"
"29.01.2023 12:51","THE DIEVAS SUPERMARKET, Embakasi, Nairobi, Kenya","580.00","27.53","0.00","0.00","0.00","Ksh","Cash","29.01.2023 13:29","14.00","Finished"
"29.01.2023 12:15","Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)","500.00","23.59","0.00","0.00","0.00","Ksh","Cash","29.01.2023 12:39","12.00","Finished"
"29.01.2023 10:27","Bima Road, Nairobi","650.00","31.18","0.00","0.00","0.00","Ksh","Cash","29.01.2023 10:56","19.00","Finished"
